PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed Bomo_genome_assembly_chr.fa -gid -gtf Bomo_gene_models_chr.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_20329	chr21	4813972	4814864	+	0		Intergenic	Intergenic	-6466	KWMTBOMO12484	KWMTBOMO12484	KWMTBOMO12484.mrna1						
Interval_39735	chr7	9784845	9785650	+	0		exon (KWMTBOMO04052, exon 1 of 8)	-exon (KWMTBOMO04052, exon 1 of 8)	173	KWMTBOMO04052	KWMTBOMO04052	KWMTBOMO04052.mrna1						
Interval_29245	chr27	3460077	3460719	+	0		promoter-TSS (KWMTBOMO15946)	-promoter-TSS (KWMTBOMO15946)	12	KWMTBOMO15946	KWMTBOMO15946	KWMTBOMO15946.mrna1						
Interval_38629	chr7	14682	15863	+	0		Intergenic	Intergenic	31653	KWMTBOMO03717	KWMTBOMO03717	KWMTBOMO03717.mrna1						
Interval_17341	chr19	13183992	13185841	+	0		exon (KWMTBOMO11747, exon 1 of 7)	-exon (KWMTBOMO11747, exon 1 of 7)	167	KWMTBOMO11747	KWMTBOMO11747	KWMTBOMO11747.mrna1						
Interval_3247	chr11	11217026	11217956	+	0		promoter-TSS (KWMTBOMO06590)	-promoter-TSS (KWMTBOMO06590)	-111	KWMTBOMO06590	KWMTBOMO06590	KWMTBOMO06590.mrna1						
Interval_25688	chr24	6727297	6728053	+	0		Intergenic	Intergenic	8770	KWMTBOMO14452	KWMTBOMO14452	KWMTBOMO14452.mrna1						
Interval_29758	chr27	7320705	7321232	+	0		Intergenic	Intergenic	-4876	KWMTBOMO16043	KWMTBOMO16043	KWMTBOMO16043.mrna1						
Interval_42376	chr9	2029969	2030937	+	0		intron (KWMTBOMO04937, intron 1 of 9)	-intron (KWMTBOMO04937, intron 1 of 9)	17131	KWMTBOMO04937	KWMTBOMO04937	KWMTBOMO04937.mrna1						
Interval_39663	chr7	9323404	9323881	+	0		intron (KWMTBOMO04029, intron 2 of 2)	-intron (KWMTBOMO04029, intron 2 of 2)	30341	KWMTBOMO04028	KWMTBOMO04028	KWMTBOMO04028.mrna1						
Interval_7499	chr14	145643	146407	+	0		intron (KWMTBOMO08155, intron 2 of 5)	-intron (KWMTBOMO08155, intron 2 of 5)	14729	KWMTBOMO08155	KWMTBOMO08155	KWMTBOMO08155.mrna1						
Interval_17603	chr2	987226	988349	+	0		intron (KWMTBOMO00712, intron 1 of 29)	-intron (KWMTBOMO00712, intron 1 of 29)	6682	KWMTBOMO00712	KWMTBOMO00712	KWMTBOMO00712.mrna1						
Interval_36734	chr5	14442517	14443201	+	0		Intergenic	Intergenic	5784	KWMTBOMO02959	KWMTBOMO02959	KWMTBOMO02959.mrna1						
Interval_4308	chr12	1957077	1958658	+	0		intron (KWMTBOMO07019, intron 1 of 2)	-intron (KWMTBOMO07019, intron 1 of 2)	372	KWMTBOMO07019	KWMTBOMO07019	KWMTBOMO07019.mrna1						
Interval_41207	chr8	9452838	9453151	+	0		exon (KWMTBOMO04545, exon 1 of 1)	-exon (KWMTBOMO04545, exon 1 of 1)	577	KWMTBOMO04545	KWMTBOMO04545	KWMTBOMO04545.mrna1						
Interval_26117	chr24	13561472	13562070	+	0		promoter-TSS (KWMTBOMO14715)	-promoter-TSS (KWMTBOMO14715)	56	KWMTBOMO14715	KWMTBOMO14715	KWMTBOMO14715.mrna1						
Interval_15722	chr18	13571588	13573172	+	0		Intergenic	Intergenic	-1280	KWMTBOMO11121	KWMTBOMO11121	KWMTBOMO11121.mrna1						
Interval_18432	chr2	8372347	8372966	+	0		exon (KWMTBOMO01012, exon 1 of 3)	-exon (KWMTBOMO01012, exon 1 of 3)	525	KWMTBOMO01012	KWMTBOMO01012	KWMTBOMO01012.mrna1						
Interval_9719	chr15	6049699	6050415	+	0		promoter-TSS (KWMTBOMO08829)	-promoter-TSS (KWMTBOMO08829)	-156	KWMTBOMO08829	KWMTBOMO08829	KWMTBOMO08829.mrna1						
Interval_36324	chr5	10621191	10621984	+	0		promoter-TSS (KWMTBOMO02775)	-promoter-TSS (KWMTBOMO02775)	-214	KWMTBOMO02775	KWMTBOMO02775	KWMTBOMO02775.mrna1						
Interval_38664	chr7	218840	219570	+	0		TTS (KWMTBOMO03726)	-TTS (KWMTBOMO03726)	2699	KWMTBOMO03726	KWMTBOMO03726	KWMTBOMO03726.mrna1						
Interval_11010	chr16	43572	44594	+	0		Intergenic	Intergenic	-3248	KWMTBOMO09373	KWMTBOMO09373	KWMTBOMO09373.mrna1						
Interval_27552	chr25	11329348	11330994	+	0		promoter-TSS (KWMTBOMO15393)	-promoter-TSS (KWMTBOMO15393)	-320	KWMTBOMO15393	KWMTBOMO15393	KWMTBOMO15393.mrna1						
Interval_6095	chr13	3254847	3255393	+	0		intron (KWMTBOMO07655, intron 1 of 3)	-intron (KWMTBOMO07655, intron 1 of 3)	145	KWMTBOMO07655	KWMTBOMO07655	KWMTBOMO07655.mrna1						
Interval_9718	chr15	6043541	6044522	+	0		promoter-TSS (KWMTBOMO08828)	-promoter-TSS (KWMTBOMO08828)	80	KWMTBOMO08828	KWMTBOMO08828	KWMTBOMO08828.mrna1						
Interval_10263	chr15	10701854	10703073	+	0		promoter-TSS (KWMTBOMO09058)	-promoter-TSS (KWMTBOMO09058)	-269	KWMTBOMO09058	KWMTBOMO09058	KWMTBOMO09058.mrna1						
Interval_10421	chr15	11964660	11965716	+	0		Intergenic	Intergenic	-4153	KWMTBOMO09139	KWMTBOMO09139	KWMTBOMO09139.mrna1						
Interval_24715	chr23	16390224	16390951	+	0		promoter-TSS (KWMTBOMO14034)	-promoter-TSS (KWMTBOMO14034)	-305	KWMTBOMO14034	KWMTBOMO14034	KWMTBOMO14034.mrna1						
Interval_21001	chr21	11435063	11436372	+	0		intron (KWMTBOMO12678, intron 1 of 8)	-intron (KWMTBOMO12678, intron 1 of 8)	164	KWMTBOMO12678	KWMTBOMO12678	KWMTBOMO12678.mrna1						
Interval_5049	chr12	9665785	9666066	+	0		Intergenic	Intergenic	-8427	KWMTBOMO07269	KWMTBOMO07269	KWMTBOMO07269.mrna1						
Interval_12110	chr16	9599087	9599790	+	0		promoter-TSS (KWMTBOMO09803)	-promoter-TSS (KWMTBOMO09803)	-151	KWMTBOMO09803	KWMTBOMO09803	KWMTBOMO09803.mrna1						
Interval_11696	chr16	5737218	5738033	+	0		promoter-TSS (KWMTBOMO09626)	-promoter-TSS (KWMTBOMO09626)	-182	KWMTBOMO09626	KWMTBOMO09626	KWMTBOMO09626.mrna1						
Interval_29834	chr27	7833353	7833846	+	0		Intergenic	Intergenic	-55880	KWMTBOMO16060	KWMTBOMO16060	KWMTBOMO16060.mrna1						
Interval_2043	chr10	15162141	15162712	+	0		Intergenic	Intergenic	24634	KWMTBOMO05943	KWMTBOMO05943	KWMTBOMO05943.mrna1						
Interval_796	chr10	4776688	4778088	+	0		intron (KWMTBOMO05552, intron 2 of 3)	-intron (KWMTBOMO05552, intron 2 of 3)	2851	KWMTBOMO05552	KWMTBOMO05552	KWMTBOMO05552.mrna1						
Interval_25190	chr24	96157	97000	+	0		intron (KWMTBOMO14262, intron 1 of 15)	-intron (KWMTBOMO14262, intron 1 of 15)	422	KWMTBOMO14262	KWMTBOMO14262	KWMTBOMO14262.mrna1						
Interval_13334	chr17	7807040	7808027	+	0		promoter-TSS (KWMTBOMO10333)	-promoter-TSS (KWMTBOMO10333)	-191	KWMTBOMO10333	KWMTBOMO10333	KWMTBOMO10333.mrna1						
Interval_31077	chr28	9999810	10000349	+	0		exon (KWMTBOMO16439, exon 1 of 7)	-exon (KWMTBOMO16439, exon 1 of 7)	105	KWMTBOMO16439	KWMTBOMO16439	KWMTBOMO16439.mrna1						
Interval_5741	chr12	17380903	17382182	+	0		intron (KWMTBOMO07554, intron 2 of 6)	-intron (KWMTBOMO07554, intron 2 of 6)	1814	KWMTBOMO07554	KWMTBOMO07554	KWMTBOMO07554.mrna1						
Interval_25929	chr24	10817602	10818145	+	0		promoter-TSS (KWMTBOMO14583)	-promoter-TSS (KWMTBOMO14583)	-155	KWMTBOMO14583	KWMTBOMO14583	KWMTBOMO14583.mrna1						
Interval_32480	chr3	10659500	10660327	+	0		promoter-TSS (KWMTBOMO01430)	-promoter-TSS (KWMTBOMO01430)	-77	KWMTBOMO01430	KWMTBOMO01430	KWMTBOMO01430.mrna1						
Interval_38123	chr6	10419290	10420288	+	0		intron (KWMTBOMO03522, intron 1 of 6)	-intron (KWMTBOMO03522, intron 1 of 6)	824	KWMTBOMO03522	KWMTBOMO03522	KWMTBOMO03522.mrna1						
Interval_8869	chr14	11872312	11875276	+	0		intron (KWMTBOMO08521, intron 1 of 7)	-intron (KWMTBOMO08521, intron 1 of 7)	946	KWMTBOMO08521	KWMTBOMO08521	KWMTBOMO08521.mrna1						
Interval_39707	chr7	9651070	9652254	+	0		promoter-TSS (KWMTBOMO04044)	-promoter-TSS (KWMTBOMO04044)	-299	KWMTBOMO04045	KWMTBOMO04045	KWMTBOMO04045.mrna1						
Interval_13584	chr17	10198700	10199239	+	0		TTS (KWMTBOMO10400)	-TTS (KWMTBOMO10400)	6150	KWMTBOMO10400	KWMTBOMO10400	KWMTBOMO10400.mrna1						
Interval_15905	chr18	15655781	15657816	+	0		Intergenic	Intergenic	-53977	KWMTBOMO11171	KWMTBOMO11171	KWMTBOMO11171.mrna1						
Interval_1334	chr10	9088450	9090033	+	0		promoter-TSS (KWMTBOMO05740)	-promoter-TSS (KWMTBOMO05740)	-654	KWMTBOMO05740	KWMTBOMO05740	KWMTBOMO05740.mrna1						
Interval_11448	chr16	3328619	3329481	+	0		Intergenic	Intergenic	-5460	KWMTBOMO09531	KWMTBOMO09531	KWMTBOMO09531.mrna1						
Interval_29630	chr27	6289408	6290639	+	0		Intergenic	Intergenic	82764	KWMTBOMO16022	KWMTBOMO16022	KWMTBOMO16022.mrna1						
Interval_37070	chr5	17860701	17861760	+	0		Intergenic	Intergenic	6373	KWMTBOMO03093	KWMTBOMO03093	KWMTBOMO03093.mrna1						
Interval_1013	chr10	6705023	6705701	+	0		Intergenic	Intergenic	12516	KWMTBOMO05628	KWMTBOMO05628	KWMTBOMO05628.mrna1						
Interval_42134	chr9	688913	690377	+	0		Intergenic	Intergenic	-10561	KWMTBOMO04875	KWMTBOMO04875	KWMTBOMO04875.mrna1						
Interval_25340	chr24	1590433	1590713	+	0		Intergenic	Intergenic	66097	KWMTBOMO14308	KWMTBOMO14308	KWMTBOMO14308.mrna1						
Interval_32338	chr3	9190467	9191547	+	0		exon (KWMTBOMO01367, exon 1 of 14)	-exon (KWMTBOMO01367, exon 1 of 14)	263	KWMTBOMO01367	KWMTBOMO01367	KWMTBOMO01367.mrna1						
Interval_37880	chr6	7961859	7962698	+	0		Intergenic	Intergenic	-27636	KWMTBOMO03440	KWMTBOMO03440	KWMTBOMO03440.mrna1						
Interval_39903	chr7	11161965	11162552	+	0		intron (KWMTBOMO04102, intron 5 of 9)	-intron (KWMTBOMO04102, intron 5 of 9)	20881	KWMTBOMO04102	KWMTBOMO04102	KWMTBOMO04102.mrna1						
Interval_25287	chr24	1011208	1011841	+	0		Intergenic	Intergenic	-5262	KWMTBOMO14289	KWMTBOMO14289	KWMTBOMO14289.mrna1						
Interval_42716	chr9	5210125	5210645	+	0		promoter-TSS (KWMTBOMO05000)	-promoter-TSS (KWMTBOMO05000)	-135	KWMTBOMO05000	KWMTBOMO05000	KWMTBOMO05000.mrna1						
Interval_4400	chr12	3188069	3188902	+	0		Intergenic	Intergenic	5357	KWMTBOMO07078	KWMTBOMO07078	KWMTBOMO07078.mrna1						
Interval_35225	chr5	1572630	1573304	+	0		intron (KWMTBOMO02413, intron 2 of 10)	-intron (KWMTBOMO02413, intron 2 of 10)	9139	KWMTBOMO02413	KWMTBOMO02413	KWMTBOMO02413.mrna1						
Interval_28619	chr26	8827703	8828609	+	0		promoter-TSS (KWMTBOMO15747)	-promoter-TSS (KWMTBOMO15747)	-273	KWMTBOMO15748	KWMTBOMO15748	KWMTBOMO15748.mrna1						
Interval_19280	chr20	7393041	7393470	+	0		promoter-TSS (KWMTBOMO12102)	-promoter-TSS (KWMTBOMO12102)	-291	KWMTBOMO12102	KWMTBOMO12102	KWMTBOMO12102.mrna1						
Interval_12444	chr16	12853446	12854611	+	0		promoter-TSS (KWMTBOMO09960)	-promoter-TSS (KWMTBOMO09960)	-146	KWMTBOMO09960	KWMTBOMO09960	KWMTBOMO09960.mrna1						
Interval_43355	chr9	11026605	11027256	+	0		intron (KWMTBOMO05208, intron 2 of 3)	-intron (KWMTBOMO05208, intron 2 of 3)	1154	KWMTBOMO05208	KWMTBOMO05208	KWMTBOMO05208.mrna1						
Interval_21836	chr22	4168403	4169025	+	0		intron (KWMTBOMO12915, intron 3 of 4)	-intron (KWMTBOMO12915, intron 3 of 4)	9114	KWMTBOMO12915	KWMTBOMO12915	KWMTBOMO12915.mrna1						
Interval_41713	chr8	13586862	13587843	+	0		intron (KWMTBOMO04731, intron 5 of 7)	-intron (KWMTBOMO04731, intron 5 of 7)	25171	KWMTBOMO04731	KWMTBOMO04731	KWMTBOMO04731.mrna1						
Interval_12705	chr17	1162197	1163416	+	0		promoter-TSS (KWMTBOMO10056)	-promoter-TSS (KWMTBOMO10056)	-15	KWMTBOMO10056	KWMTBOMO10056	KWMTBOMO10056.mrna1						
Interval_8485	chr14	8571128	8572128	+	0		Intergenic	Intergenic	18174	KWMTBOMO08422	KWMTBOMO08422	KWMTBOMO08422.mrna1						
Interval_18161	chr2	6102905	6103524	+	0		Intergenic	Intergenic	5452	KWMTBOMO00903	KWMTBOMO00903	KWMTBOMO00903.mrna1						
Interval_15330	chr18	10689724	10690265	+	0		TTS (KWMTBOMO11038)	-TTS (KWMTBOMO11038)	-5110	KWMTBOMO11039	KWMTBOMO11039	KWMTBOMO11039.mrna1						
Interval_20712	chr21	8641190	8642322	+	0		promoter-TSS (KWMTBOMO12587)	-promoter-TSS (KWMTBOMO12587)	-261	KWMTBOMO12587	KWMTBOMO12587	KWMTBOMO12587.mrna1						
Interval_43383	chr9	11116088	11117822	+	0		intron (KWMTBOMO05211, intron 16 of 20)	-intron (KWMTBOMO05211, intron 16 of 20)	-19861	KWMTBOMO05210	KWMTBOMO05210	KWMTBOMO05210.mrna1						
Interval_27122	chr25	6114551	6114843	+	0		promoter-TSS (KWMTBOMO15176)	-promoter-TSS (KWMTBOMO15176)	3	KWMTBOMO15176	KWMTBOMO15176	KWMTBOMO15176.mrna1						
Interval_16310	chr19	3703220	3703995	+	0		Intergenic	Intergenic	30197	KWMTBOMO11341	KWMTBOMO11341	KWMTBOMO11341.mrna1						
Interval_17662	chr2	1440825	1441475	+	0		intron (KWMTBOMO00720, intron 1 of 7)	-intron (KWMTBOMO00720, intron 1 of 7)	30905	KWMTBOMO00721	KWMTBOMO00721	KWMTBOMO00721.mrna1						
Interval_6166	chr13	4377092	4378154	+	0		promoter-TSS (KWMTBOMO07683)	-promoter-TSS (KWMTBOMO07683)	17	KWMTBOMO07683	KWMTBOMO07683	KWMTBOMO07683.mrna1						
Interval_218	chr1	14292701	14293852	+	0		promoter-TSS (KWMTBOMO00499)	-promoter-TSS (KWMTBOMO00499)	-45	KWMTBOMO00499	KWMTBOMO00499	KWMTBOMO00499.mrna1						
Interval_39671	chr7	9355524	9356500	+	0		promoter-TSS (KWMTBOMO04029)	-promoter-TSS (KWMTBOMO04029)	-102	KWMTBOMO04029	KWMTBOMO04029	KWMTBOMO04029.mrna1						
Interval_170	chr1	11183227	11185331	+	0		Intergenic	Intergenic	22899	KWMTBOMO00376	KWMTBOMO00376	KWMTBOMO00376.mrna1						
Interval_36210	chr5	9608649	9611184	+	0		Intergenic	Intergenic	11144	KWMTBOMO02724	KWMTBOMO02724	KWMTBOMO02724.mrna1						
Interval_20	chr1	1448616	1449182	+	0		promoter-TSS (KWMTBOMO00051)	-promoter-TSS (KWMTBOMO00051)	88	KWMTBOMO00051	KWMTBOMO00051	KWMTBOMO00051.mrna1						
Interval_8937	chr14	12492737	12493470	+	0		promoter-TSS (KWMTBOMO08541)	-promoter-TSS (KWMTBOMO08541)	-21	KWMTBOMO08541	KWMTBOMO08541	KWMTBOMO08541.mrna1						
Interval_37544	chr6	3770493	3772645	+	0		TTS (KWMTBOMO03297)	-TTS (KWMTBOMO03297)	2642	KWMTBOMO03297	KWMTBOMO03297	KWMTBOMO03297.mrna1						
Interval_565	chr10	2267789	2269587	+	0		promoter-TSS (KWMTBOMO05437)	-promoter-TSS (KWMTBOMO05437)	-445	KWMTBOMO05437	KWMTBOMO05437	KWMTBOMO05437.mrna1						
Interval_35242	chr5	1677739	1679079	+	0		Intergenic	Intergenic	41568	KWMTBOMO02417	KWMTBOMO02417	KWMTBOMO02417.mrna1						
Interval_30350	chr28	699037	700394	+	0		intron (KWMTBOMO16181, intron 3 of 13)	-intron (KWMTBOMO16181, intron 3 of 13)	13491	KWMTBOMO16181	KWMTBOMO16181	KWMTBOMO16181.mrna1						
Interval_30905	chr28	8149014	8149998	+	0		Intergenic	Intergenic	-18474	KWMTBOMO16390	KWMTBOMO16390	KWMTBOMO16390.mrna1						
Interval_5413	chr12	13625543	13626681	+	0		Intergenic	Intergenic	-27331	KWMTBOMO07446	KWMTBOMO07446	KWMTBOMO07446.mrna1						
Interval_5294	chr12	12034498	12034809	+	0		promoter-TSS (KWMTBOMO07398)	-promoter-TSS (KWMTBOMO07398)	-29	KWMTBOMO07398	KWMTBOMO07398	KWMTBOMO07398.mrna1						
Interval_34227	chr4	10608666	10609086	+	0		promoter-TSS (KWMTBOMO02025)	-promoter-TSS (KWMTBOMO02025)	25	KWMTBOMO02025	KWMTBOMO02025	KWMTBOMO02025.mrna1						
Interval_21190	chr21	13396553	13396976	+	0		promoter-TSS (KWMTBOMO12724)	-promoter-TSS (KWMTBOMO12724)	-139	KWMTBOMO12724	KWMTBOMO12724	KWMTBOMO12724.mrna1						
Interval_21258	chr21	13981459	13982574	+	0		promoter-TSS (KWMTBOMO12761)	-promoter-TSS (KWMTBOMO12761)	-3	KWMTBOMO12761	KWMTBOMO12761	KWMTBOMO12761.mrna1						
Interval_27206	chr25	6912982	6913458	+	0		Intergenic	Intergenic	31873	KWMTBOMO15214	KWMTBOMO15214	KWMTBOMO15214.mrna1						
Interval_38404	chr6	13726878	13727589	+	0		promoter-TSS (KWMTBOMO03625)	-promoter-TSS (KWMTBOMO03625)	-446	KWMTBOMO03625	KWMTBOMO03625	KWMTBOMO03625.mrna1						
Interval_12332	chr16	11971434	11972635	+	0		TTS (KWMTBOMO09913)	-TTS (KWMTBOMO09913)	2719	KWMTBOMO09913	KWMTBOMO09913	KWMTBOMO09913.mrna1						
Interval_40908	chr8	6685167	6686429	+	0		intron (KWMTBOMO04436, intron 1 of 8)	-intron (KWMTBOMO04436, intron 1 of 8)	145	KWMTBOMO04436	KWMTBOMO04436	KWMTBOMO04436.mrna1						
Interval_12720	chr17	1411983	1412389	+	0		Intergenic	Intergenic	-27644	KWMTBOMO10062	KWMTBOMO10062	KWMTBOMO10062.mrna1						
Interval_10290	chr15	10921168	10922349	+	0		promoter-TSS (KWMTBOMO09076)	-promoter-TSS (KWMTBOMO09076)	69	KWMTBOMO09076	KWMTBOMO09076	KWMTBOMO09076.mrna1						
Interval_26378	chr24	16314515	16315346	+	0		promoter-TSS (KWMTBOMO14849)	-promoter-TSS (KWMTBOMO14849)	-171	KWMTBOMO14850	KWMTBOMO14850	KWMTBOMO14850.mrna1						
Interval_34587	chr4	13791567	13792412	+	0		promoter-TSS (KWMTBOMO02198)	-promoter-TSS (KWMTBOMO02198)	-173	KWMTBOMO02198	KWMTBOMO02198	KWMTBOMO02198.mrna1						
Interval_33455	chr4	3151644	3152594	+	0		Intergenic	Intergenic	47505	KWMTBOMO01738	KWMTBOMO01738	KWMTBOMO01738.mrna1						
Interval_33195	chr4	1605229	1605837	+	0		Intergenic	Intergenic	21000	KWMTBOMO01686	KWMTBOMO01686	KWMTBOMO01686.mrna1						
Interval_16470	chr19	4968152	4969956	+	0		intron (KWMTBOMO11409, intron 1 of 1)	-intron (KWMTBOMO11409, intron 1 of 1)	519	KWMTBOMO11409	KWMTBOMO11409	KWMTBOMO11409.mrna1						
Interval_19326	chr20	7750940	7753119	+	0		Intergenic	Intergenic	15444	KWMTBOMO12112	KWMTBOMO12112	KWMTBOMO12112.mrna1						
Interval_35723	chr5	5593546	5595071	+	0		intron (KWMTBOMO02563, intron 7 of 8)	-intron (KWMTBOMO02563, intron 7 of 8)	10694	KWMTBOMO02563	KWMTBOMO02563	KWMTBOMO02563.mrna1						
Interval_23976	chr23	8765450	8765792	+	0		promoter-TSS (KWMTBOMO13765)	-promoter-TSS (KWMTBOMO13765)	51	KWMTBOMO13765	KWMTBOMO13765	KWMTBOMO13765.mrna1						
Interval_22118	chr22	7389863	7390448	+	0		intron (KWMTBOMO13054, intron 2 of 5)	-intron (KWMTBOMO13054, intron 2 of 5)	16074	KWMTBOMO13054	KWMTBOMO13054	KWMTBOMO13054.mrna1						
Interval_20075	chr21	3127010	3127585	+	0		TTS (KWMTBOMO12429)	-TTS (KWMTBOMO12429)	-3476	KWMTBOMO12428	KWMTBOMO12428	KWMTBOMO12428.mrna1						
Interval_24810	chr23	17387521	17388534	+	0		promoter-TSS (KWMTBOMO14074)	-promoter-TSS (KWMTBOMO14074)	-296	KWMTBOMO14074	KWMTBOMO14074	KWMTBOMO14074.mrna1						
Interval_17286	chr19	12700888	12702142	+	0		intron (KWMTBOMO11719, intron 1 of 10)	-intron (KWMTBOMO11719, intron 1 of 10)	6751	KWMTBOMO11719	KWMTBOMO11719	KWMTBOMO11719.mrna1						
Interval_13486	chr17	9295076	9296139	+	0		promoter-TSS (KWMTBOMO10381)	-promoter-TSS (KWMTBOMO10381)	-33	KWMTBOMO10382	KWMTBOMO10382	KWMTBOMO10382.mrna1						
Interval_28019	chr26	2198967	2199750	+	0		Intergenic	Intergenic	31831	KWMTBOMO15542	KWMTBOMO15542	KWMTBOMO15542.mrna1						
Interval_9046	chr14	13284537	13285139	+	0		promoter-TSS (KWMTBOMO08565)	-promoter-TSS (KWMTBOMO08565)	-154	KWMTBOMO08565	KWMTBOMO08565	KWMTBOMO08565.mrna1						
Interval_23861	chr23	7700204	7701371	+	0		promoter-TSS (KWMTBOMO13727)	-promoter-TSS (KWMTBOMO13727)	-103	KWMTBOMO13727	KWMTBOMO13727	KWMTBOMO13727.mrna1						
Interval_29911	chr27	8466950	8467877	+	0		Intergenic	Intergenic	4197	KWMTBOMO16080	KWMTBOMO16080	KWMTBOMO16080.mrna1						
Interval_13252	chr17	7153348	7154274	+	0		Intergenic	Intergenic	-1837	KWMTBOMO10297	KWMTBOMO10297	KWMTBOMO10297.mrna1						
Interval_21350	chr21	14824631	14825565	+	0		Intergenic	Intergenic	-101204	KWMTBOMO12796	KWMTBOMO12796	KWMTBOMO12796.mrna1						
Interval_30655	chr28	3993296	3993999	+	0		promoter-TSS (KWMTBOMO16285)	-promoter-TSS (KWMTBOMO16285)	-145	KWMTBOMO16285	KWMTBOMO16285	KWMTBOMO16285.mrna1						
Interval_3447	chr11	13174559	13175383	+	0		promoter-TSS (KWMTBOMO06727)	-promoter-TSS (KWMTBOMO06727)	-259	KWMTBOMO06727	KWMTBOMO06727	KWMTBOMO06727.mrna1						
Interval_23367	chr23	1675834	1676690	+	0		promoter-TSS (KWMTBOMO13566)	-promoter-TSS (KWMTBOMO13566)	-334	KWMTBOMO13566	KWMTBOMO13566	KWMTBOMO13566.mrna1						
Interval_2135	chr10	15804043	15805200	+	0		promoter-TSS (KWMTBOMO05987)	-promoter-TSS (KWMTBOMO05987)	-107	KWMTBOMO05987	KWMTBOMO05987	KWMTBOMO05987.mrna1						
Interval_18280	chr2	7156547	7157007	+	0		Intergenic	Intergenic	34461	KWMTBOMO00954	KWMTBOMO00954	KWMTBOMO00954.mrna1						
Interval_7991	chr14	5055722	5056401	+	0		intron (KWMTBOMO08310, intron 2 of 9)	-intron (KWMTBOMO08310, intron 2 of 9)	423	KWMTBOMO08310	KWMTBOMO08310	KWMTBOMO08310.mrna1						
Interval_15584	chr18	12791976	12793052	+	0		promoter-TSS (KWMTBOMO11095)	-promoter-TSS (KWMTBOMO11095)	-639	KWMTBOMO11095	KWMTBOMO11095	KWMTBOMO11095.mrna1						
Interval_4440	chr12	3412328	3413242	+	0		Intergenic	Intergenic	82527	KWMTBOMO07086	KWMTBOMO07086	KWMTBOMO07086.mrna1						
Interval_8661	chr14	9779500	9781705	+	0		Intergenic	Intergenic	-1056	KWMTBOMO08466	KWMTBOMO08466	KWMTBOMO08466.mrna1						
Interval_22052	chr22	6689903	6691020	+	0		promoter-TSS (KWMTBOMO13030)	-promoter-TSS (KWMTBOMO13030)	29	KWMTBOMO13030	KWMTBOMO13030	KWMTBOMO13030.mrna1						
Interval_28055	chr26	2511774	2512520	+	0		Intergenic	Intergenic	20009	KWMTBOMO15557	KWMTBOMO15557	KWMTBOMO15557.mrna1						
Interval_31151	chr28	10554385	10555218	+	0		promoter-TSS (KWMTBOMO16470)	-promoter-TSS (KWMTBOMO16470)	-217	KWMTBOMO16470	KWMTBOMO16470	KWMTBOMO16470.mrna1						
